page_url,og:title,og:description,og:site_name,Title,Author,Published Date,Description,Ingredients,Nutrition Facts,Reviews
https://www.simplyrecipes.com/easy-cherry-cobbler-recipe-11703561,The 2-Ingredient Dessert I Make Every Saturday,"All you need are two ingredients—canned cinnamon rolls and cherry pie filling—to make this super easy cherry cobbler recipe. It’s a sweet, tart, buttery treat that’s as at home for breakfast as it is for dessert.",Simply Recipes,The 2-Ingredient Dessert I Make Every Saturday,Jessica Furniss,"April 03, 2025","Easy Cherry Cobbler Recipe (2 Ingredients)
","Nonstick cooking spray, 1 (17.5-ounce) can, Pillsbury Grands Cinnamon Rolls, 1 (21-ounce) can cherry pie filling (I like, Duncan Hines Comstock Original Country Cherry, )",,
https://www.simplyrecipes.com/butter-mochi-recipe-11702788,The 5-Ingredient Hawaiian Cake I Can’t Stop Making,"Butter mochi hails from Hawaii and is a sweet, buttery, coconutty treat that’s quick and easy to make. You just need five ingredients.",Simply Recipes,The 5-Ingredient Hawaiian Cake I Can’t Stop Making,Kat Lieu,"March 28, 2025","Butter Mochi Recipe (5 Ingredients)
Prep Time: 15 mins; Cook Time: 65 mins; Cooling Time:: 45 mins; Total Time: 2 hrs 5 mins; Servings: 24 servings; Yield: 24
to 36 bars","1 tablespoon unsalted butter, softened, plus 1 stick (4 ounces), melted (divided), 2 (13.5-ounce) cans full-fat coconut milk, 1/3 cup milk, preferably whole, 1 1/2 cups (300g) granulated sugar, 4 large eggs, 1 pound (454g, about 3 cups) glutinous rice flour, 1/2 cup sweetened or unsweetened shredded (not desiccated) coconut, optional","Calories: 196, Fat: 12g, Carbs: 22g, Protein: 3g","[{'name': 'Marie', 'review': 'I added a touch of almond extract, and it tastes so good. I love the crumbly bits. I was worried that the batter filled the pan so much, but it barely rose, if at all. I wish it was a little bit more moist. If not stored airtight, it will dry out.'}, {'name': 'Marie', 'review': 'Not too sweet. I enjoy the crispy bits and the chewy interior. I was worried because the pan was filled almost all the way up - it doesn&#x27;t rise much, if at all. I added a tad bit of almond extract, and it tastes so good!'}, {'name': 'DDLmommy', 'review': 'Made it today with coconut, love the taste and easiness of making, but I&#x27;m afraid it&#x27;s too much butter. The whole pan was soaked in butter after it&#x27;s done and cooled.'}, {'name': 'Barb M', 'review': 'Sad to say, this dessert really disappointed. Tasted like bland, gluey mess. My husband and I each tried one piece. He ate his, but I couldn’t even finish mine. We dumped the rest in the trash.'}, {'name': 'Munni P', 'review': 'Slightly sweet with the aroma of coconut in the actual mochi and taste of toasted coconut from the sprinkle of coconut on top. This is super buttery! \n\nWhile this has your expected chewiness from the mochiko, it&#x27;s not like typical mochi. The butter mochi is soft and practically melts in your mouth as you chew it. The edges are super crunchy, which is a nice contrast from the chewiness.'}]"
https://www.simplyrecipes.com/easy-lemon-curd-tart-recipe-11712863,I Make This Easy 3-Ingredient Dessert Every Easter,"This easy lemon curd tart recipe only requires three ingredients: puff pastry, lemon curd, and an egg. It’s a flaky, sweet, and tangy dessert that can be made a day ahead for Easter or other spring celebrations.",Simply Recipes,I Make This Easy 3-Ingredient Dessert Every Easter,Jessica Furniss,"April 15, 2025","Easy Lemon Curd Tart Recipe (3 Ingredients)
","1 (9.75 x 10.5-inch) sheet, store-bought frozen puff pastry, , thawed, 1 large egg, 1/2 teaspoon water, 1/2 cup lemon curd, Whipped cream, optional",,
https://www.simplyrecipes.com/super-fudgy-brownie-recipe-11704846,The 3-Ingredient Brownies I Can’t Stop Making (They’re So Fudgy),"This TikTok-famous brownie recipe uses just three ingredients to make the richest, fudgiest brownies ever. Adding sweetened condensed milk and eggs to store-bought brownie mix makes these easy-to-bake treats ultra-decadent.",Simply Recipes,The 3-Ingredient Brownies I Can’t Stop Making (They’re So Fudgy),Jessica Furniss,"April 01, 2025","Super Fudgy Brownie Recipe (3 Ingredients)
","Nonstick cooking spray, 1 (16 to 18-ounce) box store-bought brownie mix (I love Duncan Hines, Dark Chocolate Fudge, or, Milk Chocolate, mixes), 1 (14-ounce) can sweetened condensed milk, 2 large eggs",,
https://www.simplyrecipes.com/easy-lemon-mousse-recipe-11706187,My 4-Ingredient Dessert Feels Fancy but Couldn’t Be Easier,"This easy lemon mousse recipe comes together with just four ingredients: cream, mascarpone cheese, sugar, and fresh lemons. It’s a creamy, tangy dessert that can be enjoyed right away or chilled for up to 3 days for an elegant but super simple make-ahead dessert.",Simply Recipes,My 4-Ingredient Dessert Feels Fancy but Couldn’t Be Easier,Molly Allen,"May 30, 2025","Easy Lemon Mousse Recipe (4 Ingredients, 10 Minutes)
","2 lemons, 2 cups (16 ounces) heavy whipping cream, 8 ounces mascarpone cheese, 1 cup powdered sugar",,
https://www.simplyrecipes.com/coconut-macaroon-cake-recipe-11710675,I Make This Easy Cake Every Year for Passover,"This sweet, moist, flourless coconut macaroon cake is perfect to serve at Passover or any spring gathering. The recipe is super simple and the cake lasts for days, meaning it’s perfect to make ahead of time.",Simply Recipes,I Make This Easy Cake Every Year for Passover,Stephanie A Ganz,"April 10, 2025","Coconut Macaroon Cake Recipe
Prep Time: 20 mins; Cook Time: 25 mins; Cooling:: 30 mins; Total Time: 75 mins; Servings: 8 servings; Yield: 1 (9-inch) cake","Nonstick cooking spray, 3 large eggs, room temperature, 1 cup (200g) granulated sugar, 1 teaspoon vanilla extract, 1 1/2 cups (144g) almond flour, 2 cups (106g) unsweetened shredded coconut, divided, 1/2 teaspoon kosher salt, Powdered sugar, for dusting","Calories: 317, Fat: 19g, Carbs: 32g, Protein: 7g","[{'name': 'Sharon', 'review': 'I made this cake with Splenda for Baking. It tastes good but I cooked it the 25 minutes and it was a little dry. My husband liked it even though it wasn&#x27;t real sweet. He is a diabetic so I try to make low carb desserts to accommodate his sweet tooth.'}, {'name': 'Sharon', 'review': 'I love this recipe. I have been on a low carb diet for several months so I am going to try it by using Spenda for baking which is half sugar and half sugar free sweetener. Will let you know how it turns out.'}, {'name': 'Steve Kay', 'review': 'I am as angry as I know how to be at you. Your instruction for &quot;dividing&quot; the shredded coconut was uselessly unclear. &quot;Divided&quot; HOW? You give a measure in grams for the two cups of shredded coconut, but then tell us to mix 1 1/2 cups of coconut with the almond flour. HOW MANY GRAMS IS 1 1/2 cups of shredded coconut? Why wasn&#x27;t this referred to in the recipe?\nI didn&#x27;t realize the confusion that you created until I mixed 106 grams of the shredded coconut with the almond meal.\nI will now have to figure out what to do with two cups of almond meal mixed with two cups of shredded coconut, as I have to start from scratch with that.\nThis looks like a wonderful recipe, but thanks for nothing!'}, {'name': 'Munni P', 'review': 'This is a verryyy light cake and lives up to the macaroon cake name; it has loads of coconut flakes in every bite! While it has a lot of coconut, the coconut flavor doesn&#x27;t overtake the cake. It&#x27;s lightly nutty from the almond flour, which pairs well with the light coconut flavor. With kosher salt, every sweet bite is met with a bit of saltiness, cutting through the sweetness. Overall, this cake is well-balanced. \n\nTexture-wise, I would describe it as a really soft almond cookie. The cake is moist (not like a traditional cake) and melts in the mouth. \n\nI shared this with some friends over a cup of fruit tea, and everyone enjoyed it! Highly recommended dessert for spring!'}]"
https://www.simplyrecipes.com/bolo-de-cenura-recipe-8782034,"For the Best Carrot Cake, Break Out the Blender","This Brazilian carrot cake recipe is totally different from American-style carrot cake but equally delicious! The batter comes together quickly thanks to a blender, and a chewy, fudgy brigadeiro-style chocolate frosting goes on top after baking.",Simply Recipes,"For the Best Carrot Cake, Break Out the Blender",Nicole Hopper and Afton Cyrus,"April 11, 2025","Brazilian Carrot Cake Recipe (Bolo de Cenura)
Prep Time: 30 mins; Cook Time: 50 mins; Cool:: 2 hrs; Total Time: 3 hrs 20 mins; Servings: 16 servings; Yield: 1 (9x13-inch) cake","Baking spray with flour, 3 medium carrots, peeled and grated, 2 cups (400 g) granulated sugar, 4 large eggs, 1 cup neutral oil, such as canola, 2 1/2 cups (300 g) all-purpose flour, 1 tablespoon baking powder, 1/4 teaspoon salt, 1 (14-ounce) can sweetened condensed milk, 1/2 cup heavy whipping cream, 1/4 cup (25 g) natural unsweetened cocoa powder, 1/4 cup semisweet chocolate chips, 2 tablespoons unsalted butter, 1/8 teaspoon salt, Chocolate sprinkles, optional","Calories: 473, Fat: 23g, Carbs: 62g, Protein: 7g","[{'name': 'Amanda S', 'review': 'This is nothing like an American-style carrot cake. It reminds me more of an extra moist classic yellow cake, but it is SO good!'}, {'name': 'Jasmine S', 'review': 'This cake isn’t overly sweet and to my surprise has a slight earthy note from the carrots. This is very different from what I’m used to but still delightful!'}]"
https://www.simplyrecipes.com/easy-carrot-cake-recipe-11714768,The World’s Best Carrot Cake Is Also the Easiest,This easy one-bowl carrot cake recipe skips any fussy techniques for a simple cake that comes together in the time it takes for the oven to preheat. It’s a versatile blank canvas for your favorite mix-ins and is topped with a velvety cream cheese frosting.,Simply Recipes,The World’s Best Carrot Cake Is Also the Easiest,Mark Beahm,"April 25, 2025","Easy Carrot Cake Recipe (One Bowl)
Prep Time: 15 mins; Cook Time: 40 mins; Cooling Time: 60 mins; Total Time: 115 mins; Servings: 12
to 16 servings; Yield: 1 (9x13-inch) cake","Nonstick cooking spray, 18 ounces carrots, scrubbed clean or peeled, 1 3/4 cups (373g) light brown sugar, 1 cup vegetable oil, 4 large eggs, 1 tablespoon pumpkin pie spice, 1 teaspoon kosher salt, 2 1/2 cups (300g) all-purpose flour, 2 teaspoons baking powder, 1 teaspoon baking soda, 8 ounces cream cheese, softened, 1 stick (4 ounces) unsalted butter, softened, 3 cups (340g) powdered sugar, 1/4 teaspoon kosher salt, 1 teaspoon vanilla extract","Calories: 492, Fat: 26g, Carbs: 62g, Protein: 5g","[{'name': 'Ashlee Tiller', 'review': '18 ounces of carrots equals how many cups of grated carrots approx? :) can’t wait to make this!'}, {'name': 'Dan S', 'review': 'This is the easiest carrot cake I&#x27;ve ever made and possibly the best. The texture and flavor just can&#x27;t be beat! Everyone loved it.'}, {'name': 'Heather w', 'review': 'Its a DELICIOUS cake recipe and comes out perfect every time! The only change i make is that I cut the butter in half on the frosting. it is so much better (to me and my husband) far less rich and heavy tasting. I usually never ate the frosting on carrot cake unless I scraped most off because it&#x27;s too rich, but I made it with half the butter by mistake and it turned out to be a delicious happy accident!'}, {'name': 'steven wiser', 'review': 'What sort of spices could be used instead of pumpkin pie spice?'}]"
https://www.simplyrecipes.com/monster-cookie-recipe-7964107,"Monster Cookies Are Chewy, Chocolatey, and Peanut Buttery","Thick, chewy, and jampacked with the classic combination of peanut butter, oats, chocolate chips, and M&Ms, this monster cookie recipe is naturally gluten-free and easy to customize.",Simply Recipes,Monster Cookies,Kalisa Marie Levette,"January 04, 2024","Monster Cookie Recipe
Prep Time: 15 mins; Cook Time: 14 mins; Total Time: 29 mins; Servings: 22
to 24 servings; Yield: 22
to 24 cookies","1 cup (255g) creamy peanut butter, 1/4 cup unsalted butter, room temperature , 1/2 cup (100g) packed light brown sugar , 1/2 cup (100g) granulated sugar, 2 large eggs, room temperature, 2 teaspoons vanilla extract, 1 teaspoon baking soda, 1/2 teaspoon kosher salt, 3 cups (260g) quick-cooking oats, 1 cup M&Ms, 1 cup semi-sweet chocolate chips","Calories: 208, Fat: 11g, Carbs: 24g, Protein: 5g","[{'name': 'Wynn', 'review': 'so good! We messed up but we made it great!'}, {'name': 'Jerzy Wieczorek', 'review': 'Delicious! I just wanted to point out a typo in the volume-to-weight conversion for oats. The 3 cups of quick-cooking oats should be around 250-260g, not 100g.'}, {'name': 'Laurel R', 'review': 'Perfectly soft and chewy and great PB and chocolate flavor. These are a real crowd-pleaser—I served them to friends, and my gluten-free buddies were tickled that they could have them, too.'}]"
https://www.simplyrecipes.com/berry-pavlova-recipe-8672326,The Stunning Berry Dessert I Make Every Single Summer,"This berry pavlova calls for a whole two pounds of summer fruit, making it the perfect treat to use up your summer fruit haul. It’s an easy recipe that’s a total showstopper at any gathering.",Simply Recipes,The Stunning Berry Dessert I Make Every Single Summer,Sarah Crowder,"July 18, 2024","Berry Pavlova Recipe
Prep Time: 25 mins; Cook Time: 2 hrs; Chill Time: 2 hrs; Total Time: 4 hrs 25 mins; Servings: 12
to 16 servings; Yield: 1 (10x13-inch) pavlova","8 large egg whites, 1/2 teaspoon cream of tartar, 1 3/4 cups (350g) granulated sugar, 3 cups cold heavy cream, 3 tablespoons powdered sugar, 1 teaspoon vanilla extract, 1/2 teaspoon salt, 8 cups (2 pounds) mixed fresh berries, such as strawberries, raspberries, blueberries, and blackberries","Calories: 277, Fat: 16g, Carbs: 31g, Protein: 4g",
